pedido_id,fecha,cliente_id,producto_id,nombre_producto,categoria,unidades,precio_unitario,importe_total
P0001,2021-11-02,C068,F003,Ventolin,broncodilatador,101,4.75,479.75
P0002,2023-01-15,C111,F003,Ventolin,broncodilatador,92,4.75,437.0
P0003,2021-09-29,C149,F002,Amoxicilina,antibiótico,75,0.3,22.5
P0004,2021-08-14,C126,F002,Amoxicilina,antibiótico,78,0.3,23.4
P0005,2023-05-13,C008,F005,Paracetamol,analgésico,69,0.15,10.35
P0006,2024-05-08,C191,F004,Remdesivir,antiviral,100,400.0,40000.0
P0007,2021-07-24,C033,F003,Ventolin,broncodilatador,91,4.75,432.25
P0008,2023-04-04,C054,F004,Remdesivir,antiviral,62,400.0,24800.0
P0009,2024-01-25,C085,F002,Amoxicilina,antibiótico,81,0.3,24.3
P0010,2022-02-27,C135,F006,Augmentine,antibiótico,85,0.45,38.25
P0011,2021-01-27,C053,F003,Ventolin,broncodilatador,35,4.75,166.25
P0012,2024-05-20,C095,F003,Ventolin,broncodilatador,81,4.75,384.75
P0013,2022-12-23,C106,F005,Paracetamol,analgésico,85,0.15,12.75
P0014,2021-11-29,C191,F003,Ventolin,broncodilatador,99,4.75,470.25
P0015,2021-04-14,C095,F001,Insulina Lantus,hormona,51,22.0,1122.0
P0016,2021-11-15,C181,F007,Metformina,antidiabético,1,0.18,0.18
P0017,2022-02-05,C170,F006,Augmentine,antibiótico,1,0.45,0.45
P0018,2023-02-06,C153,F002,Amoxicilina,antibiótico,50,0.3,15.0
P0019,2021-11-27,C089,F007,Metformina,antidiabético,65,0.18,11.7
P0020,2023-05-06,C052,F002,Amoxicilina,antibiótico,17,0.3,5.1
P0021,2024-09-14,C187,F005,Paracetamol,analgésico,87,0.15,13.05
P0022,2022-09-28,C073,F001,Insulina Lantus,hormona,63,22.0,1386.0
P0023,2021-08-19,C176,F006,Augmentine,antibiótico,110,0.45,49.5
P0024,2024-08-13,C128,F004,Remdesivir,antiviral,80,400.0,32000.0
P0025,2023-10-19,C141,F006,Augmentine,antibiótico,97,0.45,43.65
P0026,2023-04-29,C144,F004,Remdesivir,antiviral,62,400.0,24800.0
P0027,2023-08-12,C080,F004,Remdesivir,antiviral,74,400.0,29600.0
P0028,2021-04-17,C148,F001,Insulina Lantus,hormona,1,22.0,22.0
P0029,2022-12-01,C177,F003,Ventolin,broncodilatador,47,4.75,223.25
P0030,2022-01-26,C086,F004,Remdesivir,antiviral,51,400.0,20400.0
P0031,2021-11-02,C072,F003,Ventolin,broncodilatador,80,4.75,380.0
P0032,2022-12-31,C105,F006,Augmentine,antibiótico,48,0.45,21.6
P0033,2024-07-03,C197,F004,Remdesivir,antiviral,52,400.0,20800.0
P0034,2024-08-30,C170,F003,Ventolin,broncodilatador,15,4.75,71.25
P0035,2022-03-30,C103,F007,Metformina,antidiabético,94,0.18,16.92
P0036,2023-09-20,C148,F001,Insulina Lantus,hormona,4,22.0,88.0
P0037,2023-05-12,C147,F005,Paracetamol,analgésico,87,0.15,13.05
P0038,2024-06-02,C089,F002,Amoxicilina,antibiótico,89,0.3,26.7
P0039,2024-07-13,C028,F002,Amoxicilina,antibiótico,14,0.3,4.2
P0040,2023-04-14,C009,F005,Paracetamol,analgésico,41,0.15,6.15
P0041,2022-12-29,C021,F006,Augmentine,antibiótico,48,0.45,21.6
P0042,2024-02-24,C102,F001,Insulina Lantus,hormona,34,22.0,748.0
P0043,2021-09-28,C073,F001,Insulina Lantus,hormona,84,22.0,1848.0
P0044,2023-08-13,C193,F006,Augmentine,antibiótico,116,0.45,52.2
P0045,2023-12-17,C007,F003,Ventolin,broncodilatador,27,4.75,128.25
P0046,2022-07-22,C003,F004,Remdesivir,antiviral,87,400.0,34800.0
P0047,2022-02-12,C020,F003,Ventolin,broncodilatador,86,4.75,408.5
P0048,2023-12-03,C021,F004,Remdesivir,antiviral,75,400.0,30000.0
P0049,2024-02-03,C199,F002,Amoxicilina,antibiótico,44,0.3,13.2
P0050,2022-04-25,C125,F001,Insulina Lantus,hormona,48,22.0,1056.0
P0051,2024-02-15,C010,F002,Amoxicilina,antibiótico,96,0.3,28.8
P0052,2024-05-24,C118,F007,Metformina,antidiabético,1,0.18,0.18
P0053,2022-03-14,C182,F001,Insulina Lantus,hormona,42,22.0,924.0
P0054,2024-02-27,C040,F001,Insulina Lantus,hormona,49,22.0,1078.0
P0055,2023-01-02,C179,F007,Metformina,antidiabético,11,0.18,1.98
P0056,2024-02-16,C190,F005,Paracetamol,analgésico,1,0.15,0.15
P0057,2024-09-02,C154,F001,Insulina Lantus,hormona,61,22.0,1342.0
P0058,2021-03-06,C001,F001,Insulina Lantus,hormona,100,22.0,2200.0
P0059,2024-11-25,C048,F007,Metformina,antidiabético,96,0.18,17.28
P0060,2022-09-29,C064,F003,Ventolin,broncodilatador,42,4.75,199.5
P0061,2024-01-10,C093,F004,Remdesivir,antiviral,83,400.0,33200.0
P0062,2023-04-12,C147,F005,Paracetamol,analgésico,64,0.15,9.6
P0063,2021-02-17,C179,F001,Insulina Lantus,hormona,8,22.0,176.0
P0064,2022-03-09,C196,F005,Paracetamol,analgésico,100,0.15,15.0
P0065,2022-06-16,C145,F003,Ventolin,broncodilatador,11,4.75,52.25
P0066,2024-08-13,C032,F004,Remdesivir,antiviral,70,400.0,28000.0
P0067,2024-03-11,C133,F002,Amoxicilina,antibiótico,60,0.3,18.0
P0068,2022-01-24,C065,F001,Insulina Lantus,hormona,35,22.0,770.0
P0069,2021-02-12,C024,F003,Ventolin,broncodilatador,31,4.75,147.25
P0070,2021-08-28,C046,F006,Augmentine,antibiótico,11,0.45,4.95
P0071,2023-06-15,C134,F004,Remdesivir,antiviral,49,400.0,19600.0
P0072,2024-05-30,C180,F001,Insulina Lantus,hormona,38,22.0,836.0
P0073,2022-12-28,C179,F002,Amoxicilina,antibiótico,1,0.3,0.3
P0074,2021-11-28,C047,F007,Metformina,antidiabético,63,0.18,11.34
P0075,2023-06-03,C133,F006,Augmentine,antibiótico,87,0.45,39.15
P0076,2024-10-22,C081,F001,Insulina Lantus,hormona,57,22.0,1254.0
P0077,2024-12-19,C043,F005,Paracetamol,analgésico,52,0.15,7.8
P0078,2023-11-08,C128,F007,Metformina,antidiabético,90,0.18,16.2
P0079,2023-06-05,C030,F001,Insulina Lantus,hormona,53,22.0,1166.0
P0080,2022-10-26,C084,F003,Ventolin,broncodilatador,50,4.75,237.5
P0081,2024-08-11,C104,F001,Insulina Lantus,hormona,20,22.0,440.0
P0082,2021-06-06,C146,F003,Ventolin,broncodilatador,81,4.75,384.75
P0083,2023-08-28,C063,F003,Ventolin,broncodilatador,7,4.75,33.25
P0084,2024-01-22,C033,F004,Remdesivir,antiviral,123,400.0,49200.0
P0085,2022-12-30,C074,F003,Ventolin,broncodilatador,61,4.75,289.75
P0086,2021-01-06,C127,F001,Insulina Lantus,hormona,87,22.0,1914.0
P0087,2024-12-29,C083,F007,Metformina,antidiabético,56,0.18,10.08
P0088,2024-03-06,C047,F006,Augmentine,antibiótico,57,0.45,25.65
P0089,2023-09-11,C155,F003,Ventolin,broncodilatador,111,4.75,527.25
P0090,2024-05-26,C068,F003,Ventolin,broncodilatador,146,4.75,693.5
P0091,2022-08-13,C149,F002,Amoxicilina,antibiótico,97,0.3,29.1
P0092,2022-08-19,C124,F007,Metformina,antidiabético,44,0.18,7.92
P0093,2023-10-21,C117,F007,Metformina,antidiabético,49,0.18,8.82
P0094,2024-01-03,C007,F005,Paracetamol,analgésico,40,0.15,6.0
P0095,2022-10-14,C015,F005,Paracetamol,analgésico,44,0.15,6.6
